Model,MAE,RMSE,R2,MAPE
Ridge (alpha=0.1),4.8172,8.9934,0.9379,44.44
Lasso (alpha=1.0),4.6464,8.7064,0.9418,47.44
"RF - baseline (100 trees, no depth limit)",4.4455,8.6718,0.9423,41.04
"RF - 200 trees, depth=10, leaf=2",4.3771,8.1814,0.9486,40.29
"RF - 300 trees, depth=20, leaf=4",4.3851,8.439,0.9453,39.96
"RF - 400 trees, depth=30, leaf=6",4.3961,8.6156,0.943,40.13
RF - no lag features (spatial only),6.4728,17.1396,0.7745,61.81
XGBoost - baseline,4.5809,9.3732,0.9326,43.9
XGBoost - early stopping (iter=371),4.6011,9.7131,0.9276,43.1
XGBoost - shallow trees (depth=4),4.668,10.2395,0.9195,44.59
XGBoost - deep trees (depth=8),4.5636,9.4262,0.9318,41.84
XGBoost - strong regularization,4.5881,9.5826,0.9295,42.98
XGBoost - slow LR=0.01 (iter=2343),4.5466,9.3946,0.9323,42.47
XGBoost - wide trees depth=7 LR=0.02 (iter=808),4.5379,9.2687,0.9341,41.87
SARIMA - auto order AIC (per LSOA),8.7349,1.7544,-2.3499,2.0797
SARIMA - auto order AIC (per LSOA),7.1792,17.6037,0.7742,51.41
"LSTM - attention (256->128->64 units, Huber)",5.2658,18.6914,0.7405,47.63
"LSTM - deep (256->128->64 units, L2)",5.2839,18.5052,0.7456,49.24
LSTM - focal loss (192->96 units),5.2903,18.7789,0.7381,51.68
ENSEMBLE - median,5.3388,19.3069,0.7231,52.35
LSTM - residual skip-connections,5.3897,17.2199,0.7797,50.88
ENSEMBLE - weighted inverse-MAE,5.3938,19.4818,0.7181,54.11
LSTM - simple (64 units),5.4024,20.7864,0.6791,50.29
ENSEMBLE - all models average,5.4425,19.6791,0.7123,55.1
LSTM - CNN-LSTM (Conv + 128->64),5.4878,19.4772,0.7182,52.39
LSTM - stacked (128->64 units),5.7529,20.2662,0.6949,63.36
LSTM - bidirectional (96 units),6.1631,20.8934,0.6758,58.82
LSTM - multi-scale ensemble (6/12/24 months),7.7057,26.2669,0.4875,83.87

